,main_token,name,info,groups,Cluster
49,zcash,Zcash,"A cryptocurrency, crypto-currency, crypto, or coin is a digital currency designed to work as a medium of exchange through a computer network that is not reliant on any central authority, such as a government or bank, to uphold or maintain it.Individual coin ownership records are stored in a digital ledger, which is a computerized database using strong cryptography to secure transaction records, to control the creation of additional coins, and to verify the transfer of coin ownership. Despite their name, cryptocurrencies are not considered to be currencies in the traditional sense and while varying treatments have been applied to them, including classification as commodities, securities, as well as currencies, cryptocurrencies are generally viewed as a distinct asset class in practice. Some crypto schemes use validators to maintain the cryptocurrency.","ETH,DOGE,LTC,XMR,ETC,ZEC,MIOTA,DASH,DCR",0
50,helium,Helium,"FreedomFi is a company for cellular networking.


== Gateway ==
The FreedomFi Gateway is a x86 device that functions as a 4G network in a box.


== Helium ==
FreedomFi has partnered with Helium to provide more coverage.","SOL,DOT,SHIB,WBTC,VET,ICP,EGLD,RUNE,KLAY,HNT,FLOW,GMT,XEC,MKR,CVX,KSM,QNT,LRC,MINA,AMP,COMP,GLMR,KAVA,ROSE,SCRT,ZRX,AUDIO,IOTX",4
51,waves,Waves,,"ADA,ALGO,WAVES,NEO,ZIL,KDA,ICX",11
52,flow,Flow,"CryptoKitties is a blockchain game on Ethereum developed by Canadian studio Dapper Labs that allows players to purchase, collect, breed and sell virtual cats. It is one of the earliest attempts to deploy blockchain technology for recreation and leisure. The game's popularity in December 2017 congested the Ethereum network, causing it to reach an all-time high in the number of transactions and slowing it down significantly.","SOL,DOT,SHIB,WBTC,VET,ICP,EGLD,RUNE,KLAY,HNT,FLOW,GMT,XEC,MKR,CVX,KSM,QNT,LRC,MINA,AMP,COMP,GLMR,KAVA,ROSE,SCRT,ZRX,AUDIO,IOTX",4
53,kucoin token,KuCoin Token,An Initial Exchange Offering (IEO) is the Cryptocurrency Exchange equivalent to a stock launch or Initial Public Offering (IPO). An IEO is the process of digital asset (e.g. coins or tokens) procurement through an established exchange for the purpose of raising capital for start-up companies.,"FTT,LEO,KCS,HT,OKB",15
54,iota,IOTA,"IOTA is an open-source distributed ledger and cryptocurrency designed for the Internet of things (IoT). It uses a directed acyclic graph to store transactions on its ledger, motivated by a potentially higher scalability over blockchain based distributed ledgers. IOTA does not use miners to validate transactions, instead, nodes that issue a new transaction on the network must approve two previous transactions.","ETH,DOGE,LTC,XMR,ETC,ZEC,MIOTA,DASH,DCR",0
55,stepn,STEPN,,"SOL,DOT,SHIB,WBTC,VET,ICP,EGLD,RUNE,KLAY,HNT,FLOW,GMT,XEC,MKR,CVX,KSM,QNT,LRC,MINA,AMP,COMP,GLMR,KAVA,ROSE,SCRT,ZRX,AUDIO,IOTX",4
56,ecash,eCash,"Bitcoin Cash is a cryptocurrency that is a fork of Bitcoin. Bitcoin Cash is a spin-off or altcoin that was created in 2017.In November 2018, Bitcoin Cash split further into two cryptocurrencies: Bitcoin Cash and Bitcoin SV.


== History ==
Since its inception, Bitcoin users had maintained a common set of rules for the cryptocurrency. On 21 July 2017, bitcoin miners locked-in a software upgrade referred to as Bitcoin Improvement Proposal (BIP) 91, which meant that the Segregated Witness upgrade would activate at block 477,120.","SOL,DOT,SHIB,WBTC,VET,ICP,EGLD,RUNE,KLAY,HNT,FLOW,GMT,XEC,MKR,CVX,KSM,QNT,LRC,MINA,AMP,COMP,GLMR,KAVA,ROSE,SCRT,ZRX,AUDIO,IOTX",4
57,maker,Maker,"CryptoKitties is a blockchain game on Ethereum developed by Canadian studio Dapper Labs that allows players to purchase, collect, breed and sell virtual cats. It is one of the earliest attempts to deploy blockchain technology for recreation and leisure. The game's popularity in December 2017 congested the Ethereum network, causing it to reach an all-time high in the number of transactions and slowing it down significantly.","SOL,DOT,SHIB,WBTC,VET,ICP,EGLD,RUNE,KLAY,HNT,FLOW,GMT,XEC,MKR,CVX,KSM,QNT,LRC,MINA,AMP,COMP,GLMR,KAVA,ROSE,SCRT,ZRX,AUDIO,IOTX",4
58,bittorrent-new,BitTorrent-New,"WebTorrent is a peer-to-peer (P2P) streaming torrent client written in JavaScript, from the same author, Feross Aboukhadijeh, of YouTube Instant, and the team at WebTorrent and on GitHub, for use in web browsers, as well as a WebTorrent Desktop stand alone version able to bridge WebTorrent and BitTorrent serverless networks.


== History ==
Before creating WebTorrent, the developers first created PeerCDN (content delivery network) which was bought by Yahoo! in 2013.","FIL,BTT,AR,HOT",10
59,the graph,The Graph,"Nano is a peer-to-peer open-source cryptocurrency. The currency is based on directed acyclic graph data structure and distributed ledger, making it possible for Nano to work without intermediaries. To agree on what transactions to commit, or forming consensuses, it uses a system called ""Open Representative Voting"" with weight based on the amount of currency they hold.Nano was launched in October 2015 by Colin LeMahieu to address Bitcoin scalability problem.",GRT,2
60,bitcoin sv,Bitcoin SV,"Bitcoin Cash is a cryptocurrency that is a fork of Bitcoin. Bitcoin Cash is a spin-off or altcoin that was created in 2017.In November 2018, Bitcoin Cash split further into two cryptocurrencies: Bitcoin Cash and Bitcoin SV.


== History ==
Since its inception, Bitcoin users had maintained a common set of rules for the cryptocurrency. On 21 July 2017, bitcoin miners locked-in a software upgrade referred to as Bitcoin Improvement Proposal (BIP) 91, which meant that the Segregated Witness upgrade would activate at block 477,120.","BTC,BSV",18
61,convex finance,Convex Finance,"Igor Rivin (born 1961 in Moscow, USSR) is a Russian-Canadian mathematician, 
working in various fields of pure and applied mathematics, computer science, 
and materials science. He was the Regius Professor of Mathematics at the University of St. Andrews from 2015 to 2017, and was   the chief research officer at Cryptos Fund until 2019.","SOL,DOT,SHIB,WBTC,VET,ICP,EGLD,RUNE,KLAY,HNT,FLOW,GMT,XEC,MKR,CVX,KSM,QNT,LRC,MINA,AMP,COMP,GLMR,KAVA,ROSE,SCRT,ZRX,AUDIO,IOTX",4
62,neo,Neo,"A cryptocurrency, crypto-currency, crypto, or coin is a digital currency designed to work as a medium of exchange through a computer network that is not reliant on any central authority, such as a government or bank, to uphold or maintain it.Individual coin ownership records are stored in a digital ledger, which is a computerized database using strong cryptography to secure transaction records, to control the creation of additional coins, and to verify the transfer of coin ownership. Despite their name, cryptocurrencies are not considered to be currencies in the traditional sense and while varying treatments have been applied to them, including classification as commodities, securities, as well as currencies, cryptocurrencies are generally viewed as a distinct asset class in practice. Some crypto schemes use validators to maintain the cryptocurrency.","ADA,ALGO,WAVES,NEO,ZIL,KDA,ICX",11
63,stacks,Stacks,"Stacks project, formerly Blockstack, is an open-source platform to build smart contracts and decentralized blockchain applications. Stacks blockchain connects to Bitcoin to enable apps and smart contracts. In addition to smart contracts, the Stacks project provides open-source software for authentication, and data storage.","AVAX,NEAR,ATOM,FTM,STX",9
64,huobi token,Huobi Token,"Ethereum is a decentralized, open-source blockchain with smart contract functionality. Ether (ETH or Ξ) is the native cryptocurrency of the platform. Among cryptocurrencies, Ether is second only to Bitcoin in market capitalization.Ethereum was conceived in 2013 by programmer Vitalik Buterin.","FTT,LEO,KCS,HT,OKB",15
65,zilliqa,Zilliqa,,"ADA,ALGO,WAVES,NEO,ZIL,KDA,ICX",11
66,harmony,Harmony,"In Christian theology, the Harrowing of Hell (Latin: Descensus Christi ad Inferos, ""the descent of Christ into Hell"" or Hades), is an Old English and Middle English term referring to the period of time between the Crucifixion of Jesus and his resurrection. In triumphant descent, Christ brought salvation to the souls held captive there since the beginning of the world.Jesus Christ's descent into the world of the dead is referred to in the Apostles' Creed and the Athanasian Creed (Quicumque vult), which state that he ""descended into the underworld"" (descendit ad inferos), although neither mention that he liberated the dead. His descent to the underworld is alluded to in the New Testament in 1 Peter 4:6, which states that the ""good tidings were proclaimed to the dead"".","MATIC,ONE",19
67,kusama,Kusama,"Voxel Bridge is an interactive public artwork under the Cambie Bridge in Vancouver, by artist Jessica Angel. The 8,000-square-foot (740 m2) mural is a vinyl overlay on the bridge that reveals interactive elements through augmented reality (AR), with aspects of the artwork being sold as non-fungible tokens. The installation  will be part of the Vancouver Biennale from summer 2021 to 2023.","SOL,DOT,SHIB,WBTC,VET,ICP,EGLD,RUNE,KLAY,HNT,FLOW,GMT,XEC,MKR,CVX,KSM,QNT,LRC,MINA,AMP,COMP,GLMR,KAVA,ROSE,SCRT,ZRX,AUDIO,IOTX",4
68,trueusd,TrueUSD,"Stablecoins are cryptocurrencies where the price is designed to be pegged to a cryptocurrency, fiat money, or to exchange-traded commodities (such as precious metals or industrial metals).


== Backed stablecoins ==
Advantages of asset-backed cryptocurrencies are that coins are stabilized by assets that fluctuate outside of the cryptocurrency space, that is, the underlying asset is not correlated, reducing financial risk. Bitcoin and altcoins are highly correlated, so that cryptocurrency holders cannot escape widespread price falls without exiting the market or taking refuge in asset backed stablecoins.","USDT,USDC,UST,BUSD,DAI,TUSD,USDN,USDP",7
69,gala,Gala,"Matthew Paige Damon (; born October 8, 1970) is an American actor, film producer, and screenwriter. Ranked among Forbes' most bankable stars, the films in which he has appeared have collectively earned over $3.88 billion at the North American box office, making him one of the highest-grossing actors of all time. He is the recipient of various accolades, including an Academy Award and two Golden Globe Awards, in addition to nominations for three British Academy Film Awards, six Screen Actors Guild Awards, and seven Primetime Emmy Awards.","APE,MANA,SAND,AXS,GALA,ENJ",17
70,chiliz,Chiliz,,"BNB,CRO,TRX,HBAR,CHZ,NEXO,CELO,TFUEL,XEM",1
71,nexo,Nexo,,"BNB,CRO,TRX,HBAR,CHZ,NEXO,CELO,TFUEL,XEM",1
72,celo,Celo,,"BNB,CRO,TRX,HBAR,CHZ,NEXO,CELO,TFUEL,XEM",1
73,quant,Quant,,"SOL,DOT,SHIB,WBTC,VET,ICP,EGLD,RUNE,KLAY,HNT,FLOW,GMT,XEC,MKR,CVX,KSM,QNT,LRC,MINA,AMP,COMP,GLMR,KAVA,ROSE,SCRT,ZRX,AUDIO,IOTX",4
74,enjin coin,Enjin Coin,,"APE,MANA,SAND,AXS,GALA,ENJ",17
75,loopring,Loopring,,"SOL,DOT,SHIB,WBTC,VET,ICP,EGLD,RUNE,KLAY,HNT,FLOW,GMT,XEC,MKR,CVX,KSM,QNT,LRC,MINA,AMP,COMP,GLMR,KAVA,ROSE,SCRT,ZRX,AUDIO,IOTX",4
76,curve dao token,Curve DAO Token,"Ethereum is a decentralized, open-source blockchain with smart contract functionality. Ether (ETH or Ξ) is the native cryptocurrency of the platform. Among cryptocurrencies, Ether is second only to Bitcoin in market capitalization.Ethereum was conceived in 2013 by programmer Vitalik Buterin.","UNI,CAKE,AAVE,CRV,KNC",14
77,okb,OKB,"OKX, formerly known as OKEx, is one of the largest crypto spot and derivatives trading exchanges. OKX is a Seychelles-based cryptocurrency exchange that provides a platform for trading various instruments such as spot and derivative. Some of the exchange's core features include spot and derivative trading.","FTT,LEO,KCS,HT,OKB",15
78,basic attention token,Basic Attention Token,"A non-fungible token (NFT) is a non-interchangeable unit of data stored on a blockchain, a form of digital ledger, that can be sold and traded. Types of NFT data units may be associated with digital files such as photos, videos, and audio. Because each token is uniquely identifiable, NFTs differ from most cryptocurrencies, such as Bitcoin, which are fungible.",BAT,8
79,dash,Dash,"After the creation of bitcoin, the number of cryptocurrencies available over the internet is growing. This is a list of notable cryptocurrencies.","ETH,DOGE,LTC,XMR,ETC,ZEC,MIOTA,DASH,DCR",0
80,mina,Mina,"The Pirate Bay (sometimes abbreviated as TPB) is an online index of digital content of entertainment media and software. Founded in 2003 by Swedish think tank Piratbyrån, The Pirate Bay allows visitors to search, download, and contribute magnet links and torrent files, which facilitate peer-to-peer (P2P) file sharing among users of the BitTorrent protocol.
The Pirate Bay has sparked controversies and discussion about legal aspects of file sharing, copyright, and civil liberties and has become a platform for political initiatives against established intellectual property laws as well as a central figure in an anti-copyright movement.","SOL,DOT,SHIB,WBTC,VET,ICP,EGLD,RUNE,KLAY,HNT,FLOW,GMT,XEC,MKR,CVX,KSM,QNT,LRC,MINA,AMP,COMP,GLMR,KAVA,ROSE,SCRT,ZRX,AUDIO,IOTX",4
81,neutrino usd,Neutrino USD,"Coinbase Global, Inc., branded Coinbase, is an American company that operates a cryptocurrency exchange platform. Coinbase is a distributed company; all employees operate via remote work and the company lacks a physical headquarters. It is the largest cryptocurrency exchange in the United States by trading volume.","USDT,USDC,UST,BUSD,DAI,TUSD,USDN,USDP",7
82,arweave,Arweave,"Proof of space (PoS) is a type of consensus algorithm achieved by demonstrating one's legitimate interest in a service (such as sending an email) by allocating a non-trivial amount of memory or disk space to solve a challenge presented by the service provider. The concept was formulated in 2013 by Dziembowski et al. and (with a different formulation) by Ateniese et al..Proofs of space are very similar to proofs of work (PoW), except that instead of computation, storage is used to earn cryptocurrency.","FIL,BTT,AR,HOT",10
83,amp,Amp,"Brave is a free and open-source web browser developed by Brave Software, Inc. based on the Chromium web browser. Brave is a privacy-focused browser, which automatically blocks online advertisements and website trackers in its default settings.","SOL,DOT,SHIB,WBTC,VET,ICP,EGLD,RUNE,KLAY,HNT,FLOW,GMT,XEC,MKR,CVX,KSM,QNT,LRC,MINA,AMP,COMP,GLMR,KAVA,ROSE,SCRT,ZRX,AUDIO,IOTX",4
84,pax dollar,Pax Dollar,"Paxos Trust Company is a New York-based financial institution and technology company specializing in blockchain. The company's product offerings include a cryptocurrency brokerage service, asset tokenization services, and settlement services. ItBit, a bitcoin exchange run by Paxos, was the first bitcoin exchange to be licensed by the New York State Department of Financial Services, granting the company the ability to be the custodian and exchange for customers in the United States.Paxos was founded in 2012 and is based in New York City, with offices in London and Singapore.","USDT,USDC,UST,BUSD,DAI,TUSD,USDN,USDP",7
85,compound,Compound,"A cryptocurrency, crypto-currency, crypto, or coin is a digital currency designed to work as a medium of exchange through a computer network that is not reliant on any central authority, such as a government or bank, to uphold or maintain it.Individual coin ownership records are stored in a digital ledger, which is a computerized database using strong cryptography to secure transaction records, to control the creation of additional coins, and to verify the transfer of coin ownership. Despite their name, cryptocurrencies are not considered to be currencies in the traditional sense and while varying treatments have been applied to them, including classification as commodities, securities, as well as currencies, cryptocurrencies are generally viewed as a distinct asset class in practice. Some crypto schemes use validators to maintain the cryptocurrency.","SOL,DOT,SHIB,WBTC,VET,ICP,EGLD,RUNE,KLAY,HNT,FLOW,GMT,XEC,MKR,CVX,KSM,QNT,LRC,MINA,AMP,COMP,GLMR,KAVA,ROSE,SCRT,ZRX,AUDIO,IOTX",4
86,kyber network crystal v2,Kyber Network Crystal v2,Post-Quantum Cryptography Standardization is a program and competition by NIST to update their standards to include post-quantum cryptography. It was announced at PQCrypto 2016. 23 signature schemes and 59 encryption/KEM schemes were submitted by the initial submission deadline at the end of 2017 of which 69 total were deemed complete and proper and participated in the first round.,"UNI,CAKE,AAVE,CRV,KNC",14
87,theta fuel,Theta Fuel,"Malcolm CasSelle (1970-2020) was an American businessman. He was CEO of BIGtoken, Inc. He was the CIO of OPSkins and was the President of WAX (Worldwide Asset eXchange).","BNB,CRO,TRX,HBAR,CHZ,NEXO,CELO,TFUEL,XEM",1
88,decred,Decred,,"ETH,DOGE,LTC,XMR,ETC,ZEC,MIOTA,DASH,DCR",0
89,kadena,Kadena,"USS Pueblo (AGER-2) is a  Banner-class environmental research ship, attached to Navy intelligence as a spy ship, which was attacked and captured by North Korean forces on 23 January 1968, in what was later known as the ""Pueblo incident"" or alternatively, as the ""Pueblo crisis"".
The seizure of the U.S. Navy ship and her 83 crew members, one of whom was killed in the attack, came less than a week after President Lyndon B. Johnson's State of the Union address to the United States Congress, a week before the start of the Tet Offensive in South Vietnam during the Vietnam War and three days after 31 men of North Korea's KPA Unit 124 had crossed the Korean Demilitarized Zone (DMZ) and killed 26 South Koreans in an attempt to attack the South Korean Blue House (executive mansion) in the capital Seoul. The taking of Pueblo and the abuse and torture of her crew during the subsequent eleven months became a major Cold War incident, raising tensions between western and eastern powers.","ADA,ALGO,WAVES,NEO,ZIL,KDA,ICX",11
90,moonbeam,Moonbeam,"Michael John Moorcock (born 18 December 1939) is an English writer, best-known for science fiction and fantasy, who has published a number of well-received literary novels as well as comic thrillers, graphic novels and non-fiction. He has worked as an editor and is also a successful musician. He is best known for his novels about the character Elric of Melniboné, a seminal influence on the field of fantasy since the 1960s and '70s.As editor of the British science fiction magazine New Worlds, from May 1964 until March 1971 and then again from 1976 to 1996, Moorcock fostered the development of the science fiction ""New Wave"" in the UK and indirectly in the United States, leading to the advent of cyberpunk.","SOL,DOT,SHIB,WBTC,VET,ICP,EGLD,RUNE,KLAY,HNT,FLOW,GMT,XEC,MKR,CVX,KSM,QNT,LRC,MINA,AMP,COMP,GLMR,KAVA,ROSE,SCRT,ZRX,AUDIO,IOTX",4
91,nem,NEM,"Cryptocurrency bubble refers to the skeptical viewpoint about cryptocurrencies that the rising price of cryptocurrencies constitutes a speculative bubble. Adherents include The Black Swan author Nassim Taleb; Michael Burry, who shorted subprime mortgage bonds as detailed in The Big Short; Berkshire Hathaway board members, including Warren Buffett and Charlie Munger; and many other critics. Bitcoin and other cryptocurrencies have been named as speculative bubbles by several laureates of the Nobel Memorial Prize in Economic Sciences, central bankers, and investors.","BNB,CRO,TRX,HBAR,CHZ,NEXO,CELO,TFUEL,XEM",1
92,kava,Kava,,"SOL,DOT,SHIB,WBTC,VET,ICP,EGLD,RUNE,KLAY,HNT,FLOW,GMT,XEC,MKR,CVX,KSM,QNT,LRC,MINA,AMP,COMP,GLMR,KAVA,ROSE,SCRT,ZRX,AUDIO,IOTX",4
93,holo,Holo,,"FIL,BTT,AR,HOT",10
94,oasis network,Oasis Network,"The Organization for the Advancement of Structured Information Standards (OASIS; ) is a nonprofit consortium that works on the development, convergence, and adoption of open standards for cybersecurity, blockchain, Internet of things (IoT), emergency management, cloud computing, legal data exchange, energy, content technologies, and other areas.


== History ==
OASIS was founded under the name ""SGML Open"" in 1993. It began as a trade association of Standard Generalized Markup Language (SGML) tool vendors to cooperatively promote the adoption of SGML through mainly educational activities, though some amount of technical activity was also pursued including an update of the CALS Table Model specification and specifications for fragment interchange and entity management.In 1998, with the movement of the industry to XML, SGML Open changed its emphasis from SGML to XML, and changed its name to OASIS Open to be inclusive of XML and reflect an expanded scope of technical work and standards.","SOL,DOT,SHIB,WBTC,VET,ICP,EGLD,RUNE,KLAY,HNT,FLOW,GMT,XEC,MKR,CVX,KSM,QNT,LRC,MINA,AMP,COMP,GLMR,KAVA,ROSE,SCRT,ZRX,AUDIO,IOTX",4
95,secret,Secret,"A secret society is a club or an organization whose activities, events, inner functioning, or membership are concealed. The society may or may not attempt to conceal its existence. The term usually excludes covert groups, such as intelligence agencies or guerrilla warfare insurgencies, that hide their activities and memberships but maintain a public presence.","SOL,DOT,SHIB,WBTC,VET,ICP,EGLD,RUNE,KLAY,HNT,FLOW,GMT,XEC,MKR,CVX,KSM,QNT,LRC,MINA,AMP,COMP,GLMR,KAVA,ROSE,SCRT,ZRX,AUDIO,IOTX",4
96,0x,0x,"0x is an open-source, decentralized exchange infrastructure that enables the exchange of tokenized assets on multiple blockchains. Developers can use 0x to incorporate exchange functionality into their applications, and market makers can use 0x to create markets for cryptocurrencies and tokens. ZRX, an Ethereum ERC-20 token, is the native governance and staking token of 0x.","SOL,DOT,SHIB,WBTC,VET,ICP,EGLD,RUNE,KLAY,HNT,FLOW,GMT,XEC,MKR,CVX,KSM,QNT,LRC,MINA,AMP,COMP,GLMR,KAVA,ROSE,SCRT,ZRX,AUDIO,IOTX",4
97,audius,Audius,,"SOL,DOT,SHIB,WBTC,VET,ICP,EGLD,RUNE,KLAY,HNT,FLOW,GMT,XEC,MKR,CVX,KSM,QNT,LRC,MINA,AMP,COMP,GLMR,KAVA,ROSE,SCRT,ZRX,AUDIO,IOTX",4
98,icon,ICON,"A non-fungible token (NFT) is a non-interchangeable unit of data stored on a blockchain, a form of digital ledger, that can be sold and traded. Types of NFT data units may be associated with digital files such as photos, videos, and audio. Because each token is uniquely identifiable, NFTs differ from most cryptocurrencies, such as Bitcoin, which are fungible.","ADA,ALGO,WAVES,NEO,ZIL,KDA,ICX",11
99,iotex,IoTeX,,"SOL,DOT,SHIB,WBTC,VET,ICP,EGLD,RUNE,KLAY,HNT,FLOW,GMT,XEC,MKR,CVX,KSM,QNT,LRC,MINA,AMP,COMP,GLMR,KAVA,ROSE,SCRT,ZRX,AUDIO,IOTX",4
