,eval_metric,learning_rate,max_depth,min_child_weight,n_estimators,objective,predictor,random_state,reg_alpha,reg_lambda,tree_method,mse,mae,rmse,sym
0,rmse,0.45,6,2,1000,reg:squarederror,gpu_predictor,123,0.05,0.1,gpu_hist,0.015904844037346447,0.11396613503735312,0.12611440852395275,XRP
1,rmse,0.45,6,2,1000,reg:squarederror,gpu_predictor,123,0.05,0.1,gpu_hist,0.28806437749891245,0.5186661104361217,0.5367162914416819,XRP
2,rmse,0.45,6,2,1000,reg:squarederror,gpu_predictor,123,0.29,0.1,gpu_hist,0.06954063739887063,0.2507996881667172,0.2637055884862333,SOL
3,rmse,0.45,6,2,1000,reg:squarederror,gpu_predictor,123,0.29,0.1,gpu_hist,0.1992987723488926,0.42981190979480743,0.4464289107449165,SOL
4,rmse,0.45,6,2,1000,reg:squarederror,gpu_predictor,123,0.005,0.01,gpu_hist,0.127015723368689,0.2830101026718631,0.35639265335959014,ADA
5,rmse,0.45,6,2,1000,reg:squarederror,gpu_predictor,123,0.005,0.01,gpu_hist,0.10397055677054097,0.3222101459900538,0.32244465691113716,ADA
6,rmse,0.2,6,2,1000,reg:squarederror,gpu_predictor,123,0.21,0.01,gpu_hist,0.02889510902539923,0.16224228161928783,0.16998561417190347,LTC
7,rmse,0.2,6,2,1000,reg:squarederror,gpu_predictor,123,0.21,0.01,gpu_hist,0.1078912510271555,0.3178269252181053,0.32846803653804046,LTC
8,rmse,0.45,6,2,1000,reg:squarederror,gpu_predictor,123,0.45,0.1,gpu_hist,0.04561712768389386,0.20618206951052248,0.21358166513980983,XLM
9,rmse,0.45,6,2,1000,reg:squarederror,gpu_predictor,123,0.45,0.1,gpu_hist,0.06129059423722708,0.2475313241283099,0.24756937257509679,XLM
10,rmse,0.2,6,2,1000,reg:squarederror,gpu_predictor,123,0.05,0.01,gpu_hist,0.0004895326457768432,0.017619291346602766,0.022125384646980564,USDT
11,rmse,0.2,6,2,1000,reg:squarederror,gpu_predictor,123,0.05,0.01,gpu_hist,0.031168860069755135,0.17652914772431055,0.17654704775145671,USDT
12,rmse,0.03,6,2,1000,reg:squarederror,gpu_predictor,123,0.29,0.001,gpu_hist,0.0005057322410824388,0.019437187529622358,0.022488491302940686,USDC
13,rmse,0.03,6,2,1000,reg:squarederror,gpu_predictor,123,0.29,0.001,gpu_hist,0.10696026922801005,0.32699855268001554,0.32704780878032197,USDC
14,rmse,0.2,6,2,1000,reg:squarederror,gpu_predictor,123,0.41,0.3,gpu_hist,0.0022445243141882795,0.03651399011567613,0.04737641094667556,ETH
15,rmse,0.2,6,2,1000,reg:squarederror,gpu_predictor,123,0.41,0.3,gpu_hist,0.25008280833986113,0.4985072652498881,0.5000828014837754,ETH
16,rmse,0.45,6,2,1000,reg:squarederror,gpu_predictor,123,0.05,0.1,gpu_hist,0.14700808039459878,0.3556601435336047,0.3834163277621322,ALGO
17,rmse,0.45,6,2,1000,reg:squarederror,gpu_predictor,123,0.05,0.1,gpu_hist,0.21736705217172364,0.45409118235111234,0.46622639583331577,ALGO
18,rmse,0.03,6,2,1000,reg:squarederror,gpu_predictor,123,0.005,0.0001,gpu_hist,2.2501274387771368e-05,0.004109476666827135,0.004743550820616489,ICP
19,rmse,0.03,6,2,1000,reg:squarederror,gpu_predictor,123,0.005,0.0001,gpu_hist,0.004729952597707691,0.06175196416055163,0.06877465083668322,ICP
20,rmse,0.45,6,2,1000,reg:squarederror,gpu_predictor,123,0.45,0.01,gpu_hist,0.009372010745730937,0.06963546813502096,0.09680914598182827,LINK
21,rmse,0.45,6,2,1000,reg:squarederror,gpu_predictor,123,0.45,0.01,gpu_hist,0.05440699072496429,0.2327670231461525,0.23325306155539371,LINK
22,rmse,0.2,6,2,1000,reg:squarederror,gpu_predictor,123,0.37,0.01,gpu_hist,0.007760233072684532,0.07445880531099827,0.08809218508292624,MATIC
23,rmse,0.2,6,2,1000,reg:squarederror,gpu_predictor,123,0.37,0.01,gpu_hist,0.21376535610026626,0.45968679785728456,0.4623476571804666,MATIC
24,rmse,0.2,6,2,1000,reg:squarederror,gpu_predictor,123,0.005,0.1,gpu_hist,0.0001488484568199535,0.011048533228095623,0.012200346586058673,SHIB
25,rmse,0.2,6,2,1000,reg:squarederror,gpu_predictor,123,0.005,0.1,gpu_hist,0.07767704206285592,0.27724139392375946,0.2787060136826185,SHIB
26,rmse,0.03,6,2,1000,reg:squarederror,gpu_predictor,123,0.45,0.01,gpu_hist,0.004174309307086317,0.05455954947459197,0.06460889495329816,LUNA
27,rmse,0.03,6,2,1000,reg:squarederror,gpu_predictor,123,0.45,0.01,gpu_hist,0.35686413965804037,0.5865874876578648,0.5973810673749549,LUNA
28,rmse,0.2,6,2,1000,reg:squarederror,gpu_predictor,123,0.45,0.001,gpu_hist,0.0031655931946714035,0.04847407666622726,0.056263604529672676,MANA
29,rmse,0.2,6,2,1000,reg:squarederror,gpu_predictor,123,0.45,0.001,gpu_hist,0.23158534045027193,0.41667050272226336,0.4812331456272229,MANA
30,rmse,0.2,6,2,1000,reg:squarederror,gpu_predictor,123,0.13,0.0001,gpu_hist,0.02322568892645107,0.10357170680282805,0.1523997668188868,ATOM
31,rmse,0.2,6,2,1000,reg:squarederror,gpu_predictor,123,0.13,0.0001,gpu_hist,0.36952635305634146,0.6063545286655426,0.607886792960944,ATOM
32,rmse,0.45,6,2,1000,reg:squarederror,gpu_predictor,123,0.37,0.01,gpu_hist,0.008927823543570801,0.04471139008865413,0.09448716073398968,DOGE
33,rmse,0.45,6,2,1000,reg:squarederror,gpu_predictor,123,0.37,0.01,gpu_hist,0.043935994241283895,0.20950369238853456,0.209609146368387,DOGE
34,rmse,0.2,6,2,1000,reg:squarederror,gpu_predictor,123,0.05,0.1,gpu_hist,0.004655068448521671,0.05762514553467724,0.06822806203111496,DOT
35,rmse,0.2,6,2,1000,reg:squarederror,gpu_predictor,123,0.05,0.1,gpu_hist,0.2165489980811481,0.4540327956279119,0.4653482546235111,DOT
36,rmse,0.03,6,2,1000,reg:squarederror,gpu_predictor,123,0.21,0.0001,gpu_hist,0.0068624041215792795,0.07513341308648269,0.08283962893192653,AVAX
